pokemon_id,pokemon_name,base_attack,base_defense,base_stamina,tipo,subtipo,imagen
1,Bulbasaur,118,111,128,Grass,Poison,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/e6/latest/20231230143644/Bulbasaur_icono_HOME.png/48px-Bulbasaur_icono_HOME.png
2,Ivysaur,151,143,155,Grass,Poison,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/55/latest/20231230143649/Ivysaur_icono_HOME.png/48px-Ivysaur_icono_HOME.png
3,Venusaur,198,189,190,Grass,Poison,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/e2/latest/20231230143459/Venusaur_icono_HOME.png/48px-Venusaur_icono_HOME.png
4,Charmander,116,93,118,Fire,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/6/6d/latest/20230319132533/Charmander_icono_HOME.png/48px-Charmander_icono_HOME.png
5,Charmeleon,158,126,151,Fire,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/48/latest/20230319130906/Charmeleon_icono_HOME.png/48px-Charmeleon_icono_HOME.png
6,Charizard,223,173,186,Fire,Flying,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/b7/latest/20230319124610/Charizard_icono_HOME.png/48px-Charizard_icono_HOME.png
7,Squirtle,94,121,127,Water,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/93/latest/20231230143651/Squirtle_icono_HOME.png/48px-Squirtle_icono_HOME.png
8,Wartortle,126,155,153,Water,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/aa/latest/20231230143632/Wartortle_icono_HOME.png/48px-Wartortle_icono_HOME.png
9,Blastoise,171,207,188,Water,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/0/02/latest/20231230143718/Blastoise_icono_HOME.png/48px-Blastoise_icono_HOME.png
10,Caterpie,55,55,128,Bug,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/86/latest/20230319130654/Caterpie_icono_HOME.png/48px-Caterpie_icono_HOME.png
11,Metapod,45,80,137,Bug,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/55/latest/20230319132707/Metapod_icono_HOME.png/48px-Metapod_icono_HOME.png
12,Butterfree,167,137,155,Bug,Flying,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/82/latest/20230319131001/Butterfree_icono_HOME.png/48px-Butterfree_icono_HOME.png
13,Weedle,63,50,120,Bug,Poison,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/0/0f/latest/20230319125711/Weedle_icono_HOME.png/48px-Weedle_icono_HOME.png
14,Kakuna,46,75,128,Bug,Poison,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/7e/latest/20230319124617/Kakuna_icono_HOME.png/48px-Kakuna_icono_HOME.png
15,Beedrill,169,130,163,Bug,Poison,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/ae/latest/20230319125133/Beedrill_icono_HOME.png/48px-Beedrill_icono_HOME.png
16,Pidgey,85,73,120,Normal,Flying,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d5/latest/20230319130614/Pidgey_icono_HOME.png/48px-Pidgey_icono_HOME.png
17,Pidgeotto,117,105,160,Normal,Flying,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/27/latest/20230319131451/Pidgeotto_icono_HOME.png/48px-Pidgeotto_icono_HOME.png
18,Pidgeot,166,154,195,Normal,Flying,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/0/04/latest/20230319132548/Pidgeot_icono_HOME.png/48px-Pidgeot_icono_HOME.png
19,Rattata,103,70,102,Dark,Normal,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/0/02/latest/20230319130050/Rattata_icono_HOME.png/48px-Rattata_icono_HOME.png
20,Raticate,135,154,181,Dark,Normal,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/4b/latest/20230319125745/Raticate_icono_HOME.png/48px-Raticate_icono_HOME.png
21,Spearow,112,60,120,Normal,Flying,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d6/latest/20230319132404/Spearow_icono_HOME.png/48px-Spearow_icono_HOME.png
22,Fearow,182,133,163,Normal,Flying,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/c7/latest/20230319130828/Fearow_icono_HOME.png/48px-Fearow_icono_HOME.png
23,Ekans,110,97,111,Poison,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/13/latest/20230319131403/Ekans_icono_HOME.png/48px-Ekans_icono_HOME.png
24,Arbok,167,153,155,Poison,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/9f/latest/20230917181239/Arbok_icono_HOME.png/48px-Arbok_icono_HOME.png
25,Pikachu,112,96,111,Electric,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/92/latest/20230319130927/Pikachu_icono_HOME.png/48px-Pikachu_icono_HOME.png
26,Raichu,201,154,155,Electric,Psychic,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/aa/latest/20230319130241/Raichu_icono_HOME.png/48px-Raichu_icono_HOME.png
27,Sandshrew,125,129,137,Ice,Steel,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/4c/latest/20230319125311/Sandshrew_icono_HOME.png/48px-Sandshrew_icono_HOME.png
28,Sandslash,177,195,181,Ice,Steel,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/e4/latest/20230319130600/Sandslash_icono_HOME.png/48px-Sandslash_icono_HOME.png
